﻿序号,代号,任务名称,计划开始,计划完成,工期(天),实际开始,实际完成,总时差,最早开始,最早完成,最迟开始,最迟完成,关键任务
1,T1,内部品牌需求调研访谈,2026-07-01,2026-07-26,25,,,0,0,25,0,25,是
2,T2,行业竞品新媒体全维度复盘,2026-07-26,2026-08-15,20,,,0,25,45,25,45,是
3,T3,输出年度项目立项方案+预算报批,2026-08-15,2026-09-01,17,,,0,45,62,45,62,是
4,T4,拟定新媒体IP人设定位规范,2026-09-01,2026-09-21,20,,,5,62,82,67,87,否
5,T5,设计新版头像、封面、配图版式模板,2026-09-21,2026-10-26,35,,,5,82,117,87,122,否
6,T6,全平台账号资料更换+视觉内审定稿,2026-10-26,2026-12-01,36,,,5,117,153,122,158,否
7,T7,搭建全年内容选题栏目框架,2026-09-01,2026-09-23,22,,,0,62,84,62,84,是
8,T8,撰写标准化文案SOP+发文规范,2026-09-23,2026-10-21,28,,,0,84,112,84,112,是
9,T9,储备首期原创图文+短视频素材库,2026-10-21,2026-12-01,41,,,0,112,153,112,153,是
10,T10,小众平台灰度发布内容测试流量,2026-12-01,2026-12-21,20,,,5,153,173,158,178,否
11,T11,收集试运营用户评论、数据反馈台账,2026-12-01,2026-12-26,25,,,0,153,178,153,178,是
12,T12,优化选题方向、文案风格、封面版式,2026-12-26,2027-01-27,32,,,0,178,210,178,210,是
13,T13,日常日更图文短视频常态化发布,2027-01-27,2027-05-27,120,,,0,210,330,210,330,是
14,T14,策划春季品牌联动新媒体专场活动,2027-01-27,2027-03-08,40,,,90,210,250,300,340,否
15,T15,活动数据复盘+用户转化效果统计,2027-03-08,2027-03-28,20,,,90,250,270,340,360,否
16,T16,全年流量、转化、成本数据汇总核算,2027-05-27,2027-06-11,15,,,0,330,345,330,345,是
17,T17,撰写年度项目复盘报告+次年规划草案,2027-06-11,2027-06-26,15,,,0,345,360,345,360,是
